STATISTIQUES DISCORD (depuis 2025-01-01 jusqu'à 2025-12-28)
Total messages analysés: 32543

MESSAGES PAR JOUR
2025-10 : 4447
2025-11 : 2286
2025-12 : 2459

MESSAGES PAR SALON
💬｜discussion : 20105
📸｜médias : 6501
💬｜admins : 2998
🤖｜commandes : 1439
tournage : 393
💎・vip : 257
commandes-admin : 251
📢｜annonces : 146
🤝｜entraide : 118
📊｜sondages : 102
fermé-noé : 50
👀｜projets : 31
⛄｜calendrier-de-lavent : 19
🎥｜faq : 19
🛠・logs-modération : 14
📹・vidéos-lives : 13
🎥・vidéos-ami : 11
🚀｜boosts : 7
🎉｜giveaways : 6
⛄｜calendrier-de-lavent-admin : 4
raidprotect-logs : 3
📜｜règlement : 2
🤝｜partenariats : 2
✉｜invitations : 1
🎥｜clips : 1

TOP MEMBRES (TOTAL)
djcreeperytb : 6105
kitsuwen_ : 3752
shrimpcr4cot : 3423
royal_pizza67892 : 3352
nirvana580309 : 2455
theolympe : 1986
menthemis : 1726
legends.gw : 1459
noise_maker666 : 1337
liaminou8 : 1070
signe_x : 1058
tom_16 : 589
Deleted User : 583
razeaur : 501
shadow_gw10 : 425
noelevrai : 283
kpopfan908 : 260
herocreeper : 228
thepandaroux__ : 226
rorolepeorll_1 : 210
sahran.ch : 104
lavraimia_laqueen : 95
jai_perdu_mon_phone_dans_leau : 86
uufheonixredkps : 82
ms_bubu : 78
mail22_41 : 77
w3ryoff : 74
zenix637_22408 : 71
levraishinichiro : 66
jinxy_off : 65
dyponmc : 53
serial_designation_m2 : 52
xtoas : 49
satlim_ : 36
lilymama37_57400 : 30
vulzee2_12403 : 23
alex7209uwu : 22
yuvii00 : 22
wamonixx : 21
slowereuh : 20
legentilfaucheur : 19
cryo_nix_ : 19
scratcher42 : 18
ovagne : 18
xbeep. : 16
wellannn. : 15
trajstudio : 14
zerox3008_pro : 12
foxidu44 : 11
gitan2_ikea : 11
fayklord : 10
kanaii_ : 10
dindon_mignon : 9
benj997 : 9
_frust_ : 8
moirans38430 : 8
aethernode : 8
the_akemi : 8
reversedjcreeper : 8
.powerdrake : 7
cryoxx_ : 7
darkjames12 : 7
voidspace4341 : 6
vd3mz : 6
master_kevomg : 6
diegonesta59 : 6
cr4cot : 6
ttiminuitcat : 5
s.e.l.e.n.a_ : 5
chabadas : 5
yukooff : 5
sc2mc1 : 4
4e6f6973654d616b6572 : 4
nat13119 : 4
zafarin_64987 : 3
zarix_youtube : 3
darckwolf13 : 3
caporalchef_livai : 3
nounoursoporifique : 3
tytytylian : 3
moonyy.light : 3
miloory : 2
pierroalbertosaureofficiel : 2
ensahnori : 2
rtzlopo : 2
djibz38k : 2
genyaprime : 2
aw80904 : 2
gagathe3807 : 2
ednamed_terra99 : 2
__a_m_b_r_e__ : 2
